Fs,80.00
Logging time,10800
h,temp
-0.14,22.57
-0.23,22.57
0.05,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.33,22.57
0.14,22.57
-0.14,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
-0.23,22.57
0.05,22.57
0.24,22.57
0.14,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.24,22.57
-0.23,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
0.24,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
0.24,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.14,22.57
0.14,22.56
-0.05,22.57
0.05,22.57
0.05,22.57
0.24,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.56
-0.05,22.57
-0.14,22.57
0.24,22.57
0.14,22.57
0.05,22.57
0.24,22.56
0.24,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
0.33,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
0.14,22.57
0.24,22.57
0.05,22.57
-0.23,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
0.14,22.57
0.24,22.57
0.14,22.57
0.05,22.56
0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
0.14,22.56
-0.05,22.57
0.05,22.57
0.14,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.56
0.14,22.57
-0.05,22.57
-0.23,22.57
-0.23,22.57
0.14,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
-0.14,22.57
0.14,22.57
-0.14,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.14,22.56
0.05,22.56
-0.33,22.57
0.05,22.56
0.05,22.57
0.14,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
0.24,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
-0.23,22.57
-0.23,22.57
0.05,22.57
-0.14,22.57
0.24,22.56
0.14,22.57
-0.23,22.56
-0.05,22.57
0.14,22.57
-0.23,22.57
-0.23,22.56
0.14,22.57
0.14,22.56
-0.05,22.57
-0.05,22.57
0.14,22.57
0.33,22.57
0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.57
-0.23,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.23,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.33,22.57
0.05,22.57
-0.33,22.57
0.05,22.57
0.14,22.57
-0.14,22.57
0.05,22.57
0.24,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.56
0.14,22.56
0.05,22.57
-0.14,22.57
0.05,22.57
-0.23,22.57
-0.05,22.57
0.05,22.56
0.14,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.14,22.57
-0.23,22.57
0.05,22.57
0.24,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.14,22.57
0.14,22.57
0.14,22.57
0.24,22.57
0.05,22.57
0.33,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
0.05,22.56
0.05,22.57
-0.14,22.57
0.05,22.57
0.24,22.57
0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.56
0.24,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
0.05,22.56
-0.14,22.57
0.05,22.57
-0.14,22.57
0.05,22.56
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
0.24,22.56
-0.05,22.57
-0.05,22.57
0.14,22.56
-0.14,22.57
0.14,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
-0.23,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.23,22.57
-0.05,22.57
0.24,22.57
0.14,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.56
0.05,22.57
0.14,22.56
0.24,22.56
-0.23,22.57
-0.05,22.57
0.14,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.56
-0.23,22.57
-0.14,22.57
-0.14,22.57
0.14,22.56
0.05,22.57
0.24,22.57
-0.05,22.57
-0.05,22.56
-0.05,22.57
0.14,22.57
-0.23,22.57
-0.05,22.57
0.05,22.56
0.05,22.57
0.05,22.57
0.51,22.56
0.14,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.23,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.05,22.56
0.14,22.57
0.14,22.56
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.56
0.05,22.56
-0.14,22.57
-0.05,22.56
-0.14,22.57
0.14,22.56
0.14,22.56
0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.23,22.57
0.24,22.56
-0.14,22.57
-0.05,22.57
-0.05,22.56
-0.05,22.57
0.05,22.57
0.24,22.56
0.05,22.57
0.05,22.57
0.05,22.56
-0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.56
0.24,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.23,22.57
0.05,22.57
0.24,22.56
0.14,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
-0.23,22.57
0.05,22.56
0.14,22.57
-0.23,22.56
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.56
-0.14,22.57
0.05,22.56
0.05,22.57
0.24,22.56
0.14,22.56
-0.23,22.56
-0.14,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
-0.23,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.05,22.56
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
0.14,22.56
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.14,22.56
-0.05,22.56
0.14,22.56
-0.05,22.56
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.56
0.14,22.56
0.14,22.57
0.05,22.56
0.24,22.56
-0.14,22.56
-0.05,22.57
0.05,22.56
-0.14,22.57
-0.14,22.57
-0.05,22.56
0.05,22.57
-0.14,22.57
0.05,22.57
-0.23,22.57
-0.14,22.57
0.24,22.56
-0.05,22.56
0.14,22.57
-0.05,22.56
-0.05,22.56
0.05,22.56
0.24,22.56
0.14,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.56
0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.56
-0.05,22.57
-0.05,22.57
0.14,22.56
-0.14,22.57
0.05,22.56
-0.14,22.57
0.14,22.56
0.05,22.57
-0.14,22.56
-0.23,22.56
0.05,22.56
-0.05,22.57
0.14,22.56
-0.05,22.56
0.14,22.56
0.05,22.56
-0.05,22.56
-0.23,22.57
0.05,22.56
0.05,22.57
0.05,22.56
-0.05,22.57
-0.23,22.57
0.05,22.57
-0.05,22.56
0.33,22.56
0.05,22.57
-0.23,22.57
0.14,22.56
-0.14,22.57
-0.05,22.57
0.14,22.56
0.05,22.56
-0.05,22.57
-0.33,22.56
0.05,22.56
0.14,22.57
0.05,22.57
-0.23,22.56
0.05,22.56
0.24,22.56
0.05,22.56
0.05,22.56
-0.14,22.56
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.14,22.56
0.14,22.57
-0.14,22.57
0.05,22.56
0.05,22.57
0.05,22.56
0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.14,22.56
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.56
-0.05,22.57
0.05,22.56
0.14,22.56
-0.05,22.57
-0.05,22.56
-0.14,22.56
0.14,22.57
0.14,22.56
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.56
-0.05,22.57
0.05,22.56
-0.14,22.56
-0.23,22.56
-0.05,22.56
-0.05,22.57
0.24,22.57
-0.14,22.57
-0.05,22.56
0.05,22.57
-0.23,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.14,22.56
-0.23,22.57
-0.05,22.56
-0.05,22.56
0.05,22.57
-0.14,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.05,22.56
0.14,22.56
0.05,22.57
-0.14,22.56
0.05,22.56
0.05,22.56
-0.05,22.57
0.05,22.56
-0.23,22.57
-0.05,22.57
0.05,22.56
-0.05,22.56
-0.05,22.56
-0.05,22.56
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.23,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.56
-0.05,22.57
-0.14,22.57
-0.23,22.57
-0.05,22.56
-0.14,22.57
0.05,22.56
0.24,22.57
-0.05,22.56
0.05,22.57
-0.05,22.57
-0.14,22.57
0.14,22.56
-0.05,22.56
-0.05,22.57
0.24,22.56
0.14,22.56
-0.14,22.56
0.05,22.57
0.05,22.56
0.14,22.57
-0.05,22.57
-0.14,22.56
-0.05,22.56
0.14,22.57
-0.14,22.56
-0.05,22.57
0.14,22.57
0.05,22.57
-0.05,22.56
0.05,22.56
0.05,22.57
0.14,22.56
0.05,22.57
-0.05,22.57
-0.14,22.57
0.24,22.56
0.05,22.56
0.05,22.57
-0.14,22.57
-0.05,22.56
0.14,22.56
0.14,22.56
-0.14,22.57
0.05,22.56
0.05,22.56
0.14,22.57
-0.14,22.57
0.24,22.56
-0.14,22.56
-0.05,22.57
-0.05,22.56
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.56
-0.05,22.57
0.14,22.56
-0.05,22.56
-0.14,22.57
0.05,22.57
0.05,22.56
-0.14,22.57
0.05,22.56
-0.05,22.56
0.14,22.57
-0.14,22.57
0.14,22.57
0.14,22.56
0.14,22.57
-0.23,22.56
0.05,22.56
0.05,22.56
-0.23,22.57
0.14,22.56
-0.05,22.57
0.14,22.56
0.14,22.56
0.14,22.56
0.05,22.57
0.05,22.57
0.05,22.56
-0.14,22.57
-0.05,22.57
-0.23,22.57
-0.14,22.56
0.05,22.57
-0.05,22.56
-0.05,22.57
-0.05,22.57
-0.33,22.57
-0.05,22.56
-0.33,22.56
0.05,22.56
0.05,22.56
-0.14,22.56
-0.33,22.56
-0.14,22.56
-0.14,22.56
-0.05,22.57
0.24,22.56
0.05,22.56
0.05,22.56
-0.33,22.57
0.05,22.56
0.14,22.56
0.05,22.56
0.14,22.57
-0.23,22.57
0.05,22.57
-0.05,22.57
0.24,22.57
-0.05,22.56
0.05,22.56
-0.05,22.56
0.05,22.56
0.05,22.56
-0.14,22.57
0.14,22.56
0.05,22.57
0.05,22.57
0.14,22.56
0.24,22.56
-0.14,22.57
0.14,22.56
0.05,22.56
0.33,22.56
0.24,22.56
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.14,22.56
0.05,22.56
-0.05,22.57
0.14,22.56
-0.14,22.57
-0.14,22.57
0.33,22.56
-0.05,22.56
0.33,22.56
-0.23,22.57
0.05,22.56
0.14,22.57
0.05,22.57
0.24,22.57
-0.05,22.56
0.05,22.57
0.05,22.57
0.05,22.56
-0.14,22.57
0.14,22.56
0.05,22.56
-0.05,22.56
0.14,22.57
-0.05,22.57
-0.14,22.57
0.05,22.56
-0.05,22.57
0.14,22.56
0.05,22.56
-0.05,22.57
-0.05,22.56
-0.05,22.56
0.05,22.56
0.05,22.56
0.14,22.57
0.05,22.56
-0.05,22.57
0.24,22.56
-0.14,22.56
0.14,22.56
-0.05,22.57
-0.14,22.57
0.14,22.56
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.14,22.56
-0.05,22.57
0.24,22.56
-0.14,22.57
0.05,22.56
-0.05,22.57
-0.05,22.56
0.14,22.56
0.05,22.57
0.05,22.56
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.56
-0.14,22.57
-0.14,22.56
0.05,22.56
-0.14,22.57
-0.14,22.57
-0.14,22.56
-0.05,22.57
-0.05,22.57
0.14,22.56
-0.05,22.56
0.14,22.56
0.24,22.56
-0.05,22.56
0.14,22.56
0.14,22.56
0.14,22.56
0.05,22.56
0.05,22.57
0.05,22.56
-0.05,22.56
-0.05,22.57
0.05,22.57
-0.05,22.57
0.14,22.56
0.14,22.56
0.05,22.57
0.05,22.56
-0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
0.14,22.57
0.14,22.57
0.24,22.56
0.14,22.56
0.14,22.57
0.14,22.57
-0.33,22.57
-0.14,22.57
0.05,22.57
0.33,22.56
0.24,22.57
0.24,22.56
0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
-0.23,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
-0.33,22.57
-0.05,22.57
0.24,22.57
0.14,22.57
0.05,22.57
-0.05,22.56
-0.23,22.57
-0.05,22.57
-0.05,22.56
0.05,22.57
0.14,22.56
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
-0.14,22.56
-0.05,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
-0.23,22.57
0.05,22.56
0.24,22.57
0.14,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.24,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
-0.14,22.57
-0.23,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
0.05,22.56
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.23,22.57
0.05,22.57
-0.14,22.57
-0.33,22.57
-0.23,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
0.14,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
-0.23,22.57
0.14,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.24,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.14,22.57
-0.23,22.57
0.05,22.57
0.14,22.57
0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.24,22.57
0.14,22.57
-0.23,22.57
0.24,22.57
-0.14,22.57
0.24,22.57
0.14,22.57
0.14,22.57
0.05,22.57
-0.23,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.24,22.57
-0.05,22.57
0.05,22.57
-0.23,22.57
-0.05,22.57
0.24,22.57
-0.14,22.57
-0.23,22.58
0.14,22.57
-0.14,22.57
0.14,22.57
-0.05,22.58
0.05,22.57
0.14,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.24,22.57
0.14,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
0.05,22.58
-0.14,22.57
0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.42,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
-0.23,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.24,22.57
0.14,22.57
0.14,22.57
-0.14,22.57
0.33,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.23,22.57
-0.14,22.57
0.24,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.14,22.56
-0.05,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.57
0.14,22.57
0.05,22.57
-0.23,22.57
-0.14,22.57
-0.05,22.57
-0.33,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.56
-0.14,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.14,22.57
0.24,22.57
0.33,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.24,22.56
0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
0.24,22.57
-0.23,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.23,22.57
0.05,22.57
0.14,22.57
0.05,22.57
0.14,22.57
-0.14,22.57
0.05,22.57
-0.14,22.57
-0.23,22.57
-0.05,22.57
0.05,22.56
0.14,22.57
0.05,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.24,22.57
0.05,22.57
-0.23,22.57
0.05,22.57
0.14,22.57
0.05,22.57
0.14,22.56
-0.05,22.57
0.05,22.57
-0.23,22.57
0.24,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.56
0.05,22.57
0.05,22.57
0.14,22.57
0.33,22.57
-0.05,22.57
0.14,22.57
0.24,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.56
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.33,22.57
0.24,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.33,22.57
0.05,22.57
-0.14,22.57
0.14,22.57
-0.14,22.57
0.05,22.57
-0.14,22.57
0.14,22.57
0.14,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.33,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
0.24,22.57
-0.33,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.33,22.56
0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
0.14,22.57
0.14,22.57
0.24,22.57
-0.14,22.57
-0.05,22.57
0.24,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.14,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.58
-0.05,22.57
0.05,22.57
0.24,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.24,22.57
-0.14,22.57
0.33,22.57
-0.05,22.57
0.14,22.57
0.33,22.57
-0.05,22.57
-0.05,22.57
0.14,22.57
0.33,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.14,22.57
-0.23,22.57
0.05,22.57
0.05,22.57
-0.23,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.24,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
0.24,22.57
-0.05,22.57
0.14,22.57
0.33,22.57
0.05,22.57
0.14,22.57
0.05,22.58
-0.05,22.57
-0.05,22.57
0.24,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.33,22.57
0.05,22.57
0.14,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
0.33,22.57
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.14,22.57
-0.14,22.57
-0.05,22.57
0.14,22.57
0.05,22.58
0.05,22.57
-0.14,22.58
-0.23,22.58
0.05,22.57
0.24,22.57
0.24,22.57
0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.58
0.05,22.57
0.05,22.57
0.33,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.58
0.14,22.57
0.14,22.57
0.24,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.14,22.57
0.14,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
0.24,22.57
-0.14,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
0.33,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
0.05,22.57
-0.14,22.58
-0.14,22.57
0.24,22.57
0.14,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
-0.05,22.57
-0.05,22.57
-0.14,22.57
0.14,22.57
0.05,22.57
0.14,22.57
-0.14,22.58
-0.14,22.57
-0.23,22.57
0.05,22.57
0.14,22.57
-0.14,22.58
-0.05,22.57
0.24,22.57
-0.05,22.58
0.24,22.57
-0.05,22.57
0.14,22.58
0.05,22.57
0.05,22.57
-0.05,22.57
-0.14,22.58
0.05,22.58
0.05,22.57
-0.05,22.57
0.05,22.57
0.05,22.57
0.05,22.58
0.24,22.57
0.14,22.58
0.14,22.57
-0.05,22.57
0.14,22.57
-0.05,22.58
-0.05,22.58
-0.05,22.57
0.05,22.58
-0.14,22.57
-0.14,22.57
0.05,22.57
-0.14,22.57
0.24,22.57
0.05,22.57
0.14,22.58
-0.05,22.58
0.05,22.57
-0.14,22.57
0.05,22.58
-0.05,22.57
0.05,22.57
0.05,22.57
0.14,22.58
0.05,22.58
0.14,22.57
0.05,22.57
-0.14,22.58
-0.14,22.57
-0.05,22.58
-0.14,22.57
0.14,22.58
-0.05,22.58
0.14,22.57
0.05,22.57
0.05,22.57
0.24,22.57
0.14,22.57
0.33,22.57
0.05,22.58
-0.05,22.57
0.05,22.57
-0.05,22.57
0.05,22.58
0.14,22.58
0.24,22.57
0.05,22.57
0.05,22.57
-0.05,22.58
-0.05,22.58
0.14,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
-0.05,22.57
0.05,22.58
0.14,22.58
0.05,22.57
-0.14,22.58
-0.05,22.58
0.14,22.58
-0.05,22.58
0.24,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.14,22.57
0.05,22.58
-0.23,22.58
0.05,22.57
0.05,22.58
0.24,22.58
-0.05,22.58
-0.14,22.58
-0.33,22.58
0.05,22.58
0.14,22.58
0.05,22.57
0.42,22.57
-0.05,22.58
-0.05,22.57
-0.05,22.57
-0.05,22.58
-0.23,22.58
0.14,22.58
0.24,22.57
0.14,22.57
-0.14,22.58
-0.14,22.58
0.05,22.57
0.05,22.57
-0.14,22.58
0.05,22.58
0.05,22.58
0.05,22.58
0.05,22.57
-0.14,22.58
0.05,22.58
0.05,22.58
-0.05,22.58
0.14,22.57
-0.05,22.58
0.05,22.58
-0.05,22.58
-0.05,22.58
0.05,22.57
-0.05,22.58
-0.05,22.57
0.05,22.57
-0.14,22.58
0.05,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.58
0.05,22.57
-0.05,22.57
0.05,22.58
0.05,22.57
-0.05,22.58
0.05,22.57
0.05,22.58
-0.05,22.58
-0.05,22.58
0.05,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.58
0.05,22.58
0.24,22.57
-0.05,22.58
-0.05,22.57
-0.05,22.57
0.05,22.57
0.14,22.57
0.24,22.57
-0.14,22.57
-0.14,22.58
0.05,22.57
-0.05,22.58
0.05,22.57
0.05,22.58
0.33,22.57
-0.05,22.57
0.05,22.58
-0.14,22.57
0.24,22.57
-0.14,22.57
-0.05,22.58
0.05,22.57
-0.05,22.57
0.14,22.57
-0.05,22.57
-0.14,22.57
-0.05,22.57
0.05,22.57
-0.05,22.58
-0.05,22.58
0.05,22.58
0.05,22.57
-0.05,22.57
-0.05,22.57
0.24,22.57
-0.23,22.58
-0.05,22.57
-0.05,22.58
0.14,22.57
-0.14,22.57
-0.14,22.57
0.05,22.57
0.05,22.57
0.05,22.57
-0.05,22.58
0.14,22.57
-0.05,22.57
0.14,22.57
0.05,22.57
0.33,22.57
-0.05,22.57
-0.14,22.57
-0.23,22.57
-0.14,22.57
-0.05,22.57
-0.05,22.57
0.05,22.58
-0.05,22.57
0.14,22.57
